 order_id | total_price |     time_placed     
----------+-------------+---------------------
 0TFAH    |      379.64 | 2020-05-05 21:10:19
 0W1KD    |      201.03 | 2020-06-15 16:02:06
 1DQ5P    |      169.42 | 2020-06-10 17:42:07
 2DRZV    |      130.82 | 2020-06-18 12:40:09
 2KP5B    |       73.75 | 2020-05-05 15:44:03
 2MSAT    |       91.32 | 2020-05-26 15:24:48
 2S6NG    |      135.43 | 2020-06-29 10:29:28
 3RL30    |      254.78 | 2020-06-04 11:40:28
 575JY    |      129.42 | 2020-06-17 08:10:05
 5IZ2R    |      168.30 | 2020-06-09 02:42:38
 6AY91    |      298.66 | 2020-06-12 23:20:01
 6CDTH    |      312.26 | 2020-05-13 04:04:00
 6LK6A    |      213.24 | 2020-06-25 18:19:40
 8K05J    |      158.14 | 2020-06-07 14:47:42
 AKS0M    |      113.14 | 2020-06-20 14:52:50
 AMXWZ    |       84.40 | 2020-06-03 23:09:02
 BR60U    |      148.50 | 2020-06-06 01:18:48
 BTCAB    |      160.70 | 2020-06-17 00:55:48
 C53NR    |      225.64 | 2020-06-11 05:28:37
 CFTD5    |      245.00 | 2020-06-03 04:43:27
 COG62    |      364.08 | 2020-05-21 16:36:53
 D64AK    |      209.97 | 2020-05-06 21:20:25
 E7R8V    |      120.50 | 2020-05-25 08:12:21
 EXGJY    |      358.99 | 2020-05-01 09:55:15
 F3GOZ    |      155.22 | 2020-05-24 20:26:43
 FE65G    |      197.45 | 2020-06-14 16:54:16
 FSX1T    |      233.16 | 2020-06-13 08:05:36
 G8U7F    |      130.93 | 2020-06-27 17:39:40
 GW1ZB    |      147.08 | 2020-06-03 14:06:48
 H5FG3    |      176.06 | 2020-06-22 07:11:59
 H6YU4    |       49.27 | 2020-06-05 02:49:25
 HNPAH    |      188.12 | 2020-06-03 10:04:08
 HRJXE    |      205.37 | 2020-06-10 07:57:50
 HZ7I4    |      129.48 | 2020-06-28 06:03:36
 IFT2U    |      525.12 | 2020-05-26 20:55:33
 KDVSL    |      168.47 | 2020-05-11 13:09:58
 LVXVI    |      152.68 | 2020-05-06 06:22:42
 OCGMA    |      545.97 | 2020-06-21 09:47:09
 P412S    |      152.24 | 2020-06-26 12:06:56
 PLCEU    |      199.28 | 2020-07-01 03:26:31
 PZAUG    |      182.99 | 2020-05-29 17:25:06
 QF5KP    |      163.93 | 2020-05-04 09:30:04
 QSRGO    |      255.62 | 2020-06-15 08:41:08
 RHTE8    |      127.50 | 2020-06-20 02:44:27
 S0L3A    |      198.77 | 2020-05-18 01:50:12
 SW6PI    |      624.56 | 2020-05-05 09:54:58
 TRLUG    |      120.40 | 2020-05-31 19:59:45
 U5J7W    |      121.16 | 2020-05-21 10:29:05
 VE8PN    |      167.42 | 2020-06-20 21:31:26
 VEKS6    |      124.19 | 2020-05-15 03:36:11
 VLVUG    |       88.34 | 2020-06-28 03:47:48
 WRPJY    |      215.37 | 2020-06-18 10:18:22
 X3OIW    |      112.70 | 2020-06-28 05:38:16
 YRI35    |      293.95 | 2020-05-10 13:35:43
 ZREUO    |      518.79 | 2020-06-28 02:24:10
 ZWLJS    |      147.00 | 2020-05-19 11:24:28
(56 rows)

