item_id,qty,selling_price,order_id,product_id
RDUIV,4,2.31,JZK7U,GMGO5
S2UAM,5,4.04,2RMA3,IXCU9
BSR1Z,3,11.06,2RMA3,TY0I8
JF5MB,6,6.63,51AF1,UBZYL
SBFFO,1,3.33,L92NT,93NRR
8OCZ0,7,6.49,F1TN0,6HPUX
E73HO,5,10.09,ARD8Y,TTXEH
82TZ3,9,2.59,ROIJ2,XZVBW
AEJZU,3,4.55,8Y0WZ,2MQBL
L8RA4,4,5.07,8Y0WZ,SHF0A
W5NNZ,6,6.21,1PTSF,B8AAL
RJU50,10,3.18,1PTSF,OBTGP
TJMKT,6,7.2,M6FIH,2GHCW
ENEHC,6,4.93,7LJ5F,OF4I9
K8BFE,2,8.97,Y53YK,2H9ZP
X4RYX,5,3.29,DHX9Z,QZPF5
LSY5C,4,2.53,54ETE,KYDJN
E3L1M,5,3.97,SWZ2V,46HCV
RFUPT,3,6.47,RZFSA,U0BKO
ZK845,9,11.98,9GEM2,JY2QU
WE5AT,4,5.63,WT4WD,NQBX0
EJXLJ,8,4.14,L8Y8M,9P8N6
FM6B9,2,7.36,74G2E,92RTN
OK962,1,28.3,MLKAN,HW481
ARQZD,10,2.99,MLKAN,1GK0H
0VG0W,6,8.02,MLKAN,KQ2IA
DQ1ZU,1,7.61,SFDPV,92RTN
F7OZO,7,3.33,4GY9P,WHJNN
8PQRX,8,19.24,0VW8N,M3QZZ
LMWAW,2,5.56,75VP3,3AFAV
1CGHQ,7,3.12,75VP3,OVMCR
RQ0HV,9,9.46,75VP3,QHEZU
N29ZI,2,7.58,75VP3,LSX4P
GT45X,6,4.3,75VP3,XLH3C
WID4I,8,14.74,F0XXP,Z8DO8
ZBMUS,10,2.14,F0XXP,CS73N
WOODI,8,14.18,M91E9,X1MYK
VPQ2W,9,3.79,M91E9,JXKTO
YACYD,7,2.72,M91E9,OTT7P
IN7A4,6,8.05,HYNIR,JAPPU
FK82E,4,2.59,HYNIR,EB2EI
S3JPC,7,6.08,DXGFB,5KX5O
2AC3T,7,1.2,BYUZ8,4XTQO
NY2SQ,7,2.95,U73K1,H3N71
0UW5X,6,11.42,BUIJV,X1MYK
LHC9S,1,34.33,BUIJV,84G67
GBJ5U,5,5.08,FPDDB,90N22
QHKJM,4,2.21,BL0AF,Q6TX0
SQIXD,9,4.89,BL0AF,0KY4F
CMOP4,5,12.97,BL0AF,WHN3J
MTNOO,5,5.11,M20ME,2MQBL
0S0WU,4,0.99,1HKJC,N77B9
NK27U,6,1.65,HOWHB,9K2AL
CUNLZ,1,1.21,HOWHB,CS73N
CHDRS,6,5.33,NYOD7,9IZXV
TIQPZ,3,2.59,NYOD7,Q6ZEO
0GLWU,10,4.35,NYOD7,SHF0A
UUAVC,10,8.45,FPP30,V92FI
O3JNG,10,4.64,7VIEE,QZPF5
ZHGMV,1,6.18,J3AGX,WFT9G
W252G,3,3.55,J3AGX,3WOYL
NX8HJ,4,1.6,SFGUV,7PU2X
FKETW,5,9.51,SHYOZ,9CLQJ
3Y539,5,6.79,SHYOZ,LOXVO
JS7C7,4,11.86,SHYOZ,OS9YR
4H1AQ,2,1.19,SHYOZ,72F5P
T3XCI,8,7.17,98XWS,2GHCW
TW1Z0,6,4.08,98XWS,QZPF5
I0I4I,8,7.64,X5V6L,ZQKGJ
8G06Y,8,4.87,7JKUZ,2H9ZP
4P91P,9,4.54,7JKUZ,V4DH9
T6TZZ,3,2.62,XDEFQ,SUY4D
OFNSG,5,4.12,MCN6O,Z0VW4
PULHO,3,4.61,92HTK,K0QEE
H8VMA,10,28.74,ABE91,N1Z3S
9HT9E,3,15.29,ABE91,5Z6NV
SVL1F,5,6.79,ABE91,6IPAG
4H3M4,6,7.97,ABE91,3K7ZD
45MOL,4,21.09,YB79H,ONSIO
60K77,10,6.2,YB79H,XY91U
HPWWC,8,7.19,SFHYT,90N22
GFZB5,7,0.99,SFHYT,QTY42
Q5Z8X,9,0.99,36TVC,A8HUO
Z8DUZ,5,2.45,CZT6Q,TMD3L
3OLVF,4,3.1,MQH01,Z0VW4
YS3TB,10,4.52,IYKHG,6HPUX
MV7CJ,5,23.48,AP4HF,DTOPP
JV058,5,8.27,AP4HF,QHEZU
FJEBI,5,6.38,G599Q,ZCNB8
QCNNE,6,4.41,G599Q,KGIKP
CE338,6,4.96,Q15QJ,PZKL4
CB0TZ,7,1.19,EG51Z,86JQ7
GM1KA,6,39.93,HYWNZ,37YQC
K7NWJ,3,8.26,NEWD9,NRL6E
O6QGK,9,8.44,DDGKY,3BPK2
5R0HV,10,4.61,6DKLQ,Q51Y8
EELX9,3,13.78,D0CF2,AXA4R
VSX3Y,1,5.71,T0QAX,U9UKN
RWTGK,6,8.63,4WPXA,GMAN7
1VTZF,10,4.34,4WPXA,B4256
1JY7G,9,10.35,4WPXA,R8M1V
S63TM,5,1.63,4WPXA,S1OKU
22K5C,10,7.79,E9JV8,P70HF
JO6B4,1,3.5,E9JV8,EEHTM
NUG9D,8,3.44,KWR4E,SOKGZ
7N5ZA,6,1.61,C64G3,NL2ZK
1QTPS,5,3.11,C64G3,XY91U
FECWC,9,4.31,H615W,R8M1V
4BVW1,5,2.08,H615W,7NZ9Q
FS4OE,9,4.03,SW0C5,KGIKP
98ZV5,5,8.17,SW0C5,R37PD
OQ6RN,2,2.05,1LND6,NVXBC
WJ74X,3,6.78,JQBX1,PNZ41
438AI,4,11.71,NT8FG,MB4PL
U52AI,6,2.92,2F15W,7FVM5
MYDX4,4,2.52,1QY7V,WLXV4
R427E,9,5.79,JYZZN,IRG32
OTUYX,5,4.15,XSMJM,GQCKF
GADI2,8,8.49,E0ZHQ,5YV6H
DT1XS,9,4.41,PAIWB,YLKMA
B0HKO,1,2.59,PAIWB,3MAE2
Q4QZD,1,6.38,WT1JW,LEXZS
N63J5,6,5.12,I4SHF,5DIKX
PFG5P,5,5.62,I4SHF,JAPPU
UDY3X,9,8.49,IVPDK,6ECVS
2FS6K,7,9.21,UYLZV,90T50
Q4ZRW,3,26.21,UYLZV,7BWW9
XOQA2,2,10.85,3YDKD,R8M1V
1YDJ3,9,4.99,HNXH4,QZPF5
69IIJ,7,4.82,HNXH4,IXCU9
09KBX,4,6.11,HNXH4,V059U
821NL,1,6.31,HNXH4,W1AXT
ZURY8,3,1.97,3SXJO,H9ZS8
DH6FN,2,6.09,1MD16,DEG4O
CL5H8,9,4.4,1MD16,JZVRK
T1IW3,7,25.07,1MD16,VZPM4
MH08U,4,2.95,N860B,W1HC2
G3IZQ,4,4.23,D2EQP,46HCV
GUZBV,8,1.9,D2EQP,INC58
T5SND,10,7.5,O712F,M14FR
5PCLG,8,3.84,JS0XB,9IZXV
LL054,3,1.94,JGKQ4,QJ7MC
KJF63,8,7.85,YNIXS,SCJ09
NNWJX,10,19.81,BY0CZ,2HA90
TPZ2G,8,2.98,JTMNH,LFLVR
7T261,4,10.15,JTMNH,TTXEH
OCZFM,10,9.02,7BVM3,UXXKY
X2RJS,9,7.26,51GDC,24TM5
YVH7D,5,2.11,UK6NK,73MZ9
6XVOU,4,2.94,HCFWC,WZO4R
PYQH5,5,1.79,HCFWC,035MH
65UWH,9,9.99,OLAQT,DTOPP
8S9DZ,1,4.74,D35SR,3WJU2
TXRFB,3,1.57,4C039,QJ7MC
LBE03,10,7.16,PWE4W,TAWAM
SN9VX,3,5.7,PWE4W,G90RK
XJ604,10,5.57,PWE4W,512X2
TO1X5,4,5.77,8D1V7,PMDQO
66VEY,6,3.82,8D1V7,4PJKU
DRM0D,9,16.35,ZUP55,WHN3J
3MII5,4,3.77,FZSVU,M3XI5
WOHIK,7,2.88,VWHPO,7FVM5
6P7F5,4,4.99,XEQ5A,ZCNB8
GVCAN,2,4.32,XEQ5A,NRL6E
6OEZU,4,1.68,LHQUK,CS73N
G32FU,6,1.57,LHQUK,QHH1G
PUROQ,6,5.79,MXDKI,ZML2R
CD43Q,4,4.73,C89CM,I3KJ2
93TZG,8,8.7,C89CM,ZZLFP
OUMFM,7,6.24,2AC2G,Q2MWM
TAJVA,8,2.91,9W0WL,TTMTO
2EWXY,10,1.75,SFP3V,SOKGZ
3OKFS,9,15.71,O7EI7,65SEG
7PQG7,8,2.35,AK6G1,PZ2E2
YHT7T,9,6.24,3II21,QHEZU
E40YD,9,6.82,ZEP36,XY91U
P2SUO,9,12.05,I9W31,ES2L3
3HUY8,4,4.68,ALLEE,7184L
CKGLH,7,6.0,ZVN3H,8YAY3
L274M,1,6.16,ZVN3H,TAWAM
I9JSJ,7,4.59,C0S4N,4P6ZD
ZICE2,2,1.73,LDT47,0HZF8
5HAEM,2,2.33,77NRQ,WGTLD
H8HQX,1,2.26,6EE24,WDQ7E
N0NHK,2,2.7,0QR3T,3E00S
LLUQW,3,1.91,0QR3T,FJZQE
5Y5D5,3,14.53,170Z0,5UAAH
M6RF5,8,1.69,OOTTU,TJHLQ
B7NK1,4,10.98,U5XMP,TY0I8
ZCQOA,6,4.52,U5XMP,H1ZUB
245AH,7,6.42,XM5K5,SSJWN
YWJ7X,7,8.3,XM5K5,3AFAV
NO7OE,5,5.74,XM5K5,L3D8C
H7HMH,7,3.05,XM5K5,IRG32
R6N3G,3,3.62,A8L2K,H3N71
ZYDGF,5,14.07,TNJE2,8VPBX
5UQNB,1,3.26,K39RK,EEOQA
XON5U,8,4.85,4ROAF,NJTOJ
D8ZDQ,1,5.12,SYYLR,92RTN
T6UDG,4,7.6,R05XI,OF4I9
LBE2N,3,3.2,ETNM7,GQCKF
T53P2,5,0.99,ETNM7,ALIX6
RI6F0,9,2.66,W33UK,XUXA0
RV5QN,3,5.16,5XMLK,JTO6X
GTZMB,5,2.91,DFVAW,EEHTM
M5MH7,2,3.66,ELY45,BJRUL
659I8,7,6.44,J05L9,GW6ZI
Z6GIF,7,16.37,J05L9,7BWW9
644IN,2,1.34,OW4SE,D3GAP
0FHVB,9,7.35,9Z593,I3KJ2
BRM3X,5,5.15,9Z593,S86IH
UB6J9,1,19.58,OIQ2B,BK2QT
ASCHT,8,2.11,UKNM1,72F5P
3WDO8,10,1.71,UKNM1,TJHLQ
FWISN,5,11.77,AXUPS,YWRAR
J53BE,2,3.51,AXUPS,8Z8TG
44BU6,7,10.38,LUEKD,CYF1L
J168W,8,6.11,WN5JW,6ECVS
QDAW9,1,30.18,KOOO6,37YQC
JRRYW,1,1.6,P95WQ,JH08L
OC2KK,1,6.51,P95WQ,VKIMP
KEBQZ,4,7.61,CEXGA,DW4BN
QZP2I,8,6.21,D9NLI,DVJHC
3DTB8,4,3.88,D9NLI,OP2NK
Z8H38,3,4.41,98FBM,OBM5O
ERN6D,5,3.82,98FBM,3XFXC
B5NWW,4,9.26,L5W2F,HVVHI
KCBQ1,1,0.99,C1OQU,P6J2X
D3K4M,8,5.02,XK6KO,OVT81
7G034,9,10.76,RJEA8,PSYJY
NWK6P,4,5.48,PEDQZ,JPUPM
H2K7B,10,25.72,B32BY,Y6YC8
DA9ZS,6,0.99,HMMJ2,FA0EW
59EAZ,6,0.99,WEIQT,P6J2X
RW98Y,8,1.93,18MFO,61JQK
ESIEL,1,10.71,NA5XS,UBZYL
STUZB,10,12.57,AOKBO,OMD3C
LHU5B,4,2.12,IF5N1,H3N71
A0FY1,6,3.53,IF5N1,PWEGA
MWHR5,5,15.27,HTGL3,ES2L3
TVWDB,10,5.39,QILBA,NJTOJ
2CCQP,8,11.6,Z027A,GMAN7
PNG6K,2,0.99,Z027A,6YHZC
XCXYK,5,7.81,Z027A,RDXAE
GYZ6D,6,6.91,42215,LSX4P
PU4KY,6,0.99,XUSXJ,WY80W
Q30KX,7,5.39,QAV60,UF431
IL5YO,5,7.57,QAV60,6JLU0
EP6WV,9,2.08,PUXX1,GPQU7
KVMBA,3,2.56,ARD6R,1L985
UFLWC,2,7.18,YPH5A,OCT4N
XWDCE,8,2.55,36LO0,Y1UJJ
P6WN5,3,12.02,0GFP4,5E7NW
QN4KP,3,8.56,Z5219,SLEL5
4C81C,8,2.65,Z5219,3MAE2
V37SM,7,3.99,Z5219,7NVUS
2204C,3,2.19,Z5219,56LQ1
DA9VH,5,3.98,PZN9T,YNJAA
6J26J,2,2.81,PZN9T,2SF9G
TEBMX,4,28.09,UVUJG,W2KMW
3UTQA,2,7.53,UVUJG,KLBI5
KQTT3,7,2.76,UVUJG,LFLVR
CJVRX,5,0.99,PUZEE,86JQ7
HES3B,10,5.08,9LRKJ,74HC1
MQAMH,10,20.97,9LRKJ,7GQ6D
MOL9G,9,31.12,P4HVS,MB4PL
J4H1O,3,9.96,6AQBI,9SZWD
O9D1K,9,21.09,6AQBI,AIY7S
PCVFO,5,4.87,6AQBI,0X9GR
2P2VO,6,3.16,T4JTS,RAUEN
DDYDP,7,3.68,QJTLU,LVEN0
OD1NF,3,3.97,5UFA7,SCJ09
ZLN6Y,5,18.58,ECBLD,8VPBX
174Z1,4,1.6,RH7VD,Y1UJJ
RV4ZA,7,10.73,TC65M,E8K8K
2T3QG,9,29.61,TC65M,8VPBX
M4BRP,8,4.43,YATVX,2MQBL
46VI2,1,5.92,U0YFF,3K7ZD
SSSD0,7,20.71,P98F3,T1P2J
FY4SS,9,20.48,9KHBR,MPAO6
W1BJS,8,6.1,9KHBR,8DE6Y
QYCTX,4,15.89,K257G,8R03H
T027S,6,1.85,POM4Z,SHF0A
WPY24,4,3.77,GC5EV,BRAGZ
KTSMI,7,3.5,GC5EV,9IZXV
2Q4LK,7,4.81,OL13L,KNQNE
J6A56,10,6.78,XRG4K,A46O7
P98SP,6,0.99,BADG6,N77B9
X3P47,8,4.71,I4069,MYBYS
EPVGX,8,1.42,M3BYT,QICOI
XFCJ2,6,0.99,BUUFC,86JQ7
KM9B5,7,2.4,BUUFC,IJZCN
RTF0Z,7,3.32,BUUFC,DANFI
7VMRN,4,6.08,CKHTV,375QA
LCK4Z,1,1.23,CKHTV,CS73N
BXP76,5,3.45,CKHTV,DKC29
BWJZU,2,3.73,AXIL9,2MXVD
WC6SM,10,2.71,QEM38,2MXVD
9T9OE,3,6.15,QEM38,90N22
ZQ7DD,1,10.01,YJSSK,AJ69P
7BENZ,10,1.59,YJSSK,QHH1G
NDN3H,3,2.85,2QHZU,QICOI
B4WVS,2,7.06,B4AED,Y56S6
V47DH,10,4.67,B4AED,L6E00
5XENL,9,4.11,B4AED,QHH1G
24E9K,5,4.35,DWISY,M7UAU
RXRFO,6,9.51,AYKMH,28PAO
8N62I,5,8.25,P7GE0,0X9GR
PPD36,6,4.75,P7GE0,C0PRG
X4WYO,6,3.34,P7GE0,9K2AL
6RI05,3,4.4,OFR93,U416B
O5ZNX,10,5.26,PW94S,R8ZD5
FI9GI,9,4.51,BT8RS,OVMCR
60IA6,9,1.58,CMZF2,7PU2X
3KPYU,7,0.99,ANWQC,G1KVR
C43CO,10,5.1,ANWQC,6WLH2
5TSB9,5,12.92,ANWQC,5LXR0
1P310,10,6.34,SZ8PZ,UF431
WH67D,7,6.28,OUNWM,MQDMU
V3Q8P,4,3.67,BKBRZ,3MAE2
D2REF,3,13.66,2NBQY,ZFFU7
Z87XC,3,3.23,2NBQY,V3YP8
BEMLZ,6,3.15,2NBQY,PZKL4
IZNV0,2,2.32,QMOTD,QICOI
AWHYL,5,0.99,K24SY,8FA5U
Z7IJT,1,5.09,B41F7,ZQLZO
3YF2G,4,2.57,AMTY4,Q6ZEO
PCI7B,9,2.47,5KGND,BZ2IX
3PNOA,6,7.66,5KGND,G08JV
QPSPP,3,1.32,62PNI,CS73N
4VICC,5,3.37,KHWUB,NJCGM
21LNL,1,8.12,KHWUB,PMDQO
P1WPO,8,16.53,VJPAS,5Z6NV
CZ08E,2,3.04,RBNBP,LLO6D
J8XJF,4,2.36,TPTQ6,SOKGZ
TUON6,2,3.74,TPTQ6,K0QEE
NJQQC,3,16.29,TPTQ6,AIY7S
X4NI7,8,0.99,TPTQ6,8NDN8
L1QM3,5,0.99,3SYD5,6MCT9
JSRHL,2,10.41,UI9JJ,9CLQJ
DAUQA,1,10.1,KLQYG,LVD5O
I11UB,1,6.97,VQ1WR,LXJML
VS08F,4,5.21,VQ1WR,DANFI
N57NR,3,4.68,TG8Z9,HIJX4
WBQRT,4,4.77,TG8Z9,VXUX0
EFPWS,9,6.09,CKHXP,JXKTO
G4MHC,1,1.35,H9GD5,3MAE2
LI0NV,9,2.52,GOFFP,5KX5O
BC59L,2,2.54,EGADR,0HZF8
E91PG,10,12.75,68DTT,BRYPX
9KNDA,5,8.63,JXKJ7,OVT81
