order_id,total_price,time_placed,pickup_time,customer_id,shopper_id,vehicle_state,vehicle_license_plate,store_id,time_fulfilled
JZK7U,15.43,2018-01-01T04:23:45.000Z,,GS65P,QFT7M,DC,HMB 138,T5RSD,2018-01-01T08:10:25.000Z
2RMA3,45.76,2018-01-09T02:44:26.000Z,,CSZGS,C0CRZ,CA,65-UE96,LQNUN,2018-01-09T11:52:31.000Z
51AF1,23.57,2018-01-10T11:51:09.000Z,,2DR30,WJ8LW,GA,0VP 603,SJCSG,2018-01-10T19:01:49.000Z
L92NT,98.45,2018-01-15T06:28:05.000Z,2018-01-15T11:00:19.000Z,K3DKJ,XJUVO,TN,95-79220,OCOLY,2018-01-15T13:15:31.000Z
F1TN0,76.43,2018-01-16T10:37:32.000Z,2018-01-16T13:51:58.000Z,M84WC,KMD2W,KS,0-A8139,6QSXS,2018-01-16T17:54:46.000Z
ARD8Y,50.45,2018-01-19T16:19:38.000Z,,XKBQL,0TFDB,ND,526 PJD,GJNJB,2018-01-19T21:52:13.000Z
ROIJ2,23.31,2018-01-20T00:05:26.000Z,2018-01-20T00:43:12.000Z,J6W0N,ZMABB,CA,11-56943,AMT4C,2018-01-20T05:28:42.000Z
8Y0WZ,33.93,2018-01-23T06:49:43.000Z,2018-01-23T12:38:17.000Z,JVN1X,4NBXO,UT,PYU 295,I5OZH,2018-01-23T12:47:23.000Z
1PTSF,69.06,2018-01-26T13:15:06.000Z,2018-01-26T17:22:59.000Z,ASOVT,8XTJ3,OH,1BA44,U4IQO,2018-01-26T19:56:18.000Z
M6FIH,43.2,2018-01-28T08:19:04.000Z,,JVN1X,KNBNP,UT,PYU 295,7SDSK,2018-01-28T17:20:03.000Z
7LJ5F,29.58,2018-01-28T17:21:57.000Z,,G9QVR,I3NZB,CA,E36-67V,XSFYQ,2018-01-28T21:58:44.000Z
Y53YK,17.94,2018-01-29T06:29:48.000Z,,OA7TD,G2Q4I,CA,46U•501,1ZTDE,2018-01-29T13:14:01.000Z
DHX9Z,16.45,2018-01-30T19:03:10.000Z,2018-01-30T19:36:05.000Z,U52Y2,R47CP,CA,BOL-8079,UU677,2018-01-30T19:41:25.000Z
54ETE,10.12,2018-01-30T22:38:01.000Z,,P3JMP,BBU3I,CA,794 PHS,I4R4M,2018-01-31T04:25:08.000Z
SWZ2V,19.85,2018-02-01T20:39:15.000Z,,XCUJX,QNBDK,CA,H67-CSH,B5XT7,2018-02-02T06:27:18.000Z
RZFSA,19.41,2018-02-01T22:06:21.000Z,2018-02-02T02:41:51.000Z,HHKNN,ANJMP,IL,RZO-924,3W6UE,2018-02-02T03:38:15.000Z
9GEM2,107.82,2018-02-01T22:11:02.000Z,2018-02-01T23:55:49.000Z,Y86VC,ROZ39,CA,2EZ42,3T1TP,2018-02-02T02:41:11.000Z
WT4WD,22.52,2018-02-02T09:36:51.000Z,,FXX0B,ECOXA,CA,LMQ 800,3II5S,2018-02-02T12:37:22.000Z
L8Y8M,33.12,2018-02-03T06:27:42.000Z,2018-02-03T12:21:06.000Z,VQ69N,BD8T1,KY,AJY-5200,TMZ9R,2018-02-03T17:58:58.000Z
74G2E,14.72,2018-02-04T00:37:01.000Z,2018-02-04T01:06:34.000Z,XV2WX,KMD2W,CA,JRE0728,6QSXS,2018-02-04T03:48:57.000Z
MLKAN,106.32,2018-02-04T03:57:46.000Z,,32Z7Y,RP5FU,CA,CW 45074,ZQ79W,2018-02-04T06:18:49.000Z
SFDPV,7.61,2018-02-06T11:20:58.000Z,2018-02-06T15:05:49.000Z,0ETHD,TCIB2,CA,F87 5KO,74JM7,2018-02-06T20:51:57.000Z
4GY9P,23.31,2018-02-08T04:15:54.000Z,2018-02-08T07:11:49.000Z,KCY1P,ETAIG,CA,12KY1,F6ZK0,2018-02-08T09:20:21.000Z
0VW8N,153.92,2018-02-08T06:41:32.000Z,2018-02-08T07:00:47.000Z,TGCXG,UAS84,CA,208-QGS,X52OV,2018-02-08T11:55:16.000Z
75VP3,159.06,2018-02-08T14:18:03.000Z,2018-02-08T17:27:15.000Z,0M27O,NL2AE,OR,ZZ 19195,I374Z,2018-02-08T17:42:17.000Z
F0XXP,139.32,2018-02-09T15:11:39.000Z,2018-02-09T15:42:46.000Z,NZ6RH,PNM5I,CA,MR8 3863,8YOR0,2018-02-09T16:35:59.000Z
