product_id,store_id,qty
0LLE6,HJI4K,30
TMD3L,SCPDY,30
TMD3L,2XQ8U,30
5Z6NV,FIB83,30
LBLB7,E0HTC,30
C8SH9,28JE8,30
C8SH9,5INB7,30
C8SH9,GBNTS,30
Z0VW4,3MGOV,30
C0PRG,3MGOV,30
Z0C33,KGVM4,30
Z0C33,HJI4K,30
9XE9C,SEAXT,30
FC3F3,SCPDY,30
FC3F3,6Q67U,30
ZQLZO,WTMYV,30
ZQLZO,WW9OJ,30
ZQLZO,E0HTC,30
ZQLZO,XWYDM,30
3WOYL,WW9OJ,30
3WOYL,BSBIA,30
YNJAA,KCNOQ,30
YNJAA,GBNTS,30
705ZD,WTMYV,30
705ZD,XWYDM,30
WURYH,IMHW1,30
WURYH,GBNTS,30
OBTGP,GBNTS,30
W1AXT,XTT7N,30
W1AXT,P8OG7,30
W1AXT,YP8DM,30
YHD9M,SCPDY,30
JEBDN,WBLFY,30
4YKYZ,KPWY0,30
1L985,2XQ8U,30
VZPM4,KCNOQ,30
VZPM4,VHNP8,30
VZPM4,3MGOV,30
ES2L3,KGVM4,30
ES2L3,13BNE,30
ES2L3,4SRHC,30
ES2L3,6Q67U,30
6WLH2,WY2YN,30
6WLH2,FCR45,30
6WLH2,KCNOQ,30
6WLH2,XRVL3,30
EB2EI,4SRHC,30
EB2EI,GBNTS,30
B28ZZ,VOOWH,30
B28ZZ,XWYDM,30
OCT4N,4SRHC,30
OCT4N,SCPDY,30
OV4WH,VHNP8,30
OV4WH,5INB7,30
ALIX6,UYQ5A,30
ALIX6,SEAXT,30
G90RK,G6TQY,30
05V84,BSBIA,30
05V84,S1F36,30
ZDQMY,GBNTS,30
D3GAP,KGVM4,30
D3GAP,WW9OJ,30
D3GAP,SEAXT,30
S1KS2,WBLFY,30
S1KS2,KPWY0,30
S1KS2,GBNTS,30
GMGO5,E0HTC,30
GMGO5,XWYDM,30
WU6SK,GBNTS,30
RG83O,SCPDY,30
RG83O,6Q67U,30
C7E2U,13BNE,30
C7E2U,WW9OJ,30
C7E2U,75EWH,30
C7E2U,2XQ8U,30
C7E2U,LHSWE,30
84G67,SCPDY,30
84G67,2XQ8U,30
L9TI9,XWYDM,30
L9TI9,HJI4K,30
W4SRU,BSBIA,30
RIDJT,5INB7,30
L8BID,P8OG7,30
V3SOM,VOOWH,30
V3SOM,YP8DM,30
J9Q60,KCNOQ,30
J9Q60,UO5H8,30
BLOCR,2XQ8U,30
BLOCR,BSBIA,30
PCJUY,UO5H8,30
WHN3J,WTMYV,30
WHN3J,6Q67U,30
BK2QT,UYQ5A,30
K4J06,2XQ8U,30
K4J06,SEAXT,30
K4J06,3MGOV,30
MUFUS,9Y122,30
MUFUS,FFAZF,30
MUFUS,X17J6,30
MUFUS,WW6Y6,30
MUFUS,2K77Q,30
MUFUS,6UMFQ,30
MUFUS,6KNFC,30
MUFUS,OSKEM,30
MUFUS,SG708,30
MUFUS,S1F36,30
7FVM5,P4TYX,30
JZVRK,WW9OJ,30
5UAAH,GBNTS,30
3F223,UO5H8,30
3F223,2XQ8U,30
7NVUS,P8OG7,30
XWXG8,4SRHC,30
3L8JQ,4SRHC,30
7SBHG,13BNE,30
7SBHG,FIB83,30
OINLG,UYQ5A,30
5DIKX,WBLFY,30
5DIKX,2XQ8U,30
R0PBG,XTT7N,30
R0PBG,FIB83,30
R0PBG,SCPDY,30
R0PBG,BSBIA,30
R0PBG,6Q67U,30
DTOPP,WTMYV,30
DTOPP,13BNE,30
DTOPP,FIB83,30
DTOPP,P8OG7,30
8B68O,XTT7N,30
LNLBU,WBLFY,30
LNLBU,P8OG7,30
LNLBU,3MGOV,30
INC58,WTMYV,30
CS73N,P8OG7,30
CS73N,HJI4K,30
K4FZ5,GBNTS,30
BQJ2N,KGVM4,30
BQJ2N,5INB7,30
VKIMP,FIB83,30
VKIMP,SCPDY,30
VKIMP,2XQ8U,30
KLBI5,KCNOQ,30
