store_id,name,street,city,state,zip_code,phone,category
0BJDN,Quick Chek Food Stores,5799 Riley Expressway Suite 239,Leicester,NC,28748,001-247-045-5085,"Meat & Seafood, Personal Care & Health, Frozen Foods"
0HKZ3,Border Station,973 Harris Fords,Goodsprings,AL,35560,(488)094-8157x20328,"Baby Care, Bread & Bakery, Deli, Fruits & Vegetables, Grains & Pasta & Sides, Meat & Seafood, Pet Care, Beverages, Breakfast & Cereal, Canned Goods & Soups, Cookies & Snacks & Candy, Dairy & Eggs & Cheese, Frozen Foods, Paper & Cleaning & Home"
0K71G,Hillcrest,037 Richards Locks,Victor,IA,52347,(120)447-8375,"Dairy & Eggs & Cheese, Deli, Meat & Seafood, Paper & Cleaning & Home, Pet Care, Beverages, Breakfast & Cereal, Condiments & Spice & Bake, Frozen Foods, Fruits & Vegetables, Grains & Pasta & Sides"
0N43T,Victory Marketing Llc,360 Bishop Port Apt. 667,Conover,OH,45317,764-184-0179x4789,"Baby Care, Cookies & Snacks & Candy, Personal Care & Health, Beverages, Deli, Grains & Pasta & Sides, Pet Care"
0OENH,Casey's Cove Convenience Store,194 Billy Summit Suite 176,Mossyrock,WA,98564,429-825-5376,"Baby Care, Condiments & Spice & Bake, Deli, Frozen Foods, Fruits & Vegetables, Meat & Seafood, Beverages, Breakfast & Cereal, Canned Goods & Soups, Grains & Pasta & Sides, Paper & Cleaning & Home, Personal Care & Health, Pet Care"
0PE4W,Spaceway Oil CO,6558 Gutierrez Knolls Apt. 067,College Station,TX,77840,222-478-2013x70666,"Baby Care, Bread & Bakery, Breakfast & Cereal, Canned Goods & Soups, Condiments & Spice & Bake, Cookies & Snacks & Candy, Dairy & Eggs & Cheese, Frozen Foods, Grains & Pasta & Sides, Meat & Seafood, Pet Care, Beverages, Deli, Paper & Cleaning & Home, Personal Care & Health"
0PHNB,Pit Row,847 Stephanie Springs Apt. 166,Claunch,NM,87011,001-876-073-3639,"Beverages, Bread & Bakery, Frozen Foods, Grains & Pasta & Sides, Meat & Seafood, Paper & Cleaning & Home, Personal Care & Health, Breakfast & Cereal, Fruits & Vegetables"
12XXK,Pump-N-Pantry Of NY,5625 Young Corners Suite 327,Philadelphia,PA,19152,+1-322-558-3705x542,"Beverages, Canned Goods & Soups, Deli, Fruits & Vegetables, Grains & Pasta & Sides, Meat & Seafood, Personal Care & Health, Baby Care, Bread & Bakery, Breakfast & Cereal, Condiments & Spice & Bake, Cookies & Snacks & Candy, Dairy & Eggs & Cheese, Frozen Foods, Pet Care"
13BNE,Sunset Foods,9118 Robin Walks,Carpinteria,CA,93014,-2038,"Beverages, Breakfast & Cereal, Canned Goods & Soups, Condiments & Spice & Bake, Deli, Frozen Foods, Fruits & Vegetables, Pet Care, Baby Care, Bread & Bakery, Cookies & Snacks & Candy, Dairy & Eggs & Cheese, Grains & Pasta & Sides, Meat & Seafood, Paper & Cleaning & Home, Personal Care & Health"
14VAS,Mapco,4757 Mcintyre Manors Suite 874,Woburn,MA,1813,777.937.3614x877,"Canned Goods & Soups, Fruits & Vegetables, Meat & Seafood, Pet Care, Bread & Bakery, Condiments & Spice & Bake, Cookies & Snacks & Candy, Deli, Frozen Foods, Grains & Pasta & Sides, Paper & Cleaning & Home"
16G9G,Dandy Mini Mart,5909 Louis Green Apt. 811,Hinton,IA,51024,+1-857-125-6064x729,"Beverages, Breakfast & Cereal, Condiments & Spice & Bake, Cookies & Snacks & Candy, Deli, Frozen Foods, Personal Care & Health, Pet Care, Baby Care, Canned Goods & Soups, Dairy & Eggs & Cheese, Fruits & Vegetables, Grains & Pasta & Sides, Paper & Cleaning & Home"
17KE2,Jackson Food Store,341 Barbara Mill Apt. 607,Urbanna,VA,23175,(728)485-3425,"Beverages, Bread & Bakery, Canned Goods & Soups, Condiments & Spice & Bake, Cookies & Snacks & Candy, Fruits & Vegetables, Grains & Pasta & Sides, Paper & Cleaning & Home, Personal Care & Health, Frozen Foods"
1HTLD,Mapco Express,092 Buck Unions Apt. 873,Minneapolis,MN,55467,545072682,"Bread & Bakery, Breakfast & Cereal, Condiments & Spice & Bake, Grains & Pasta & Sides"
