state,license_plate,year,model,make,color
PA,13F 527,2011,,Hyundai,Aqua
TX,1940,2008,,Ford,Silver
AZ,22-3633A,,,Hyundai,Navy
AZ,5-16478,,,Toyota,Aqua
GA,BG-7967,2012,,Chevrolet,Gray
AL,HZJ-6478,,Yaris,Toyota,Gray
NM,MVJ7555,2008,Express Cargo,Chevrolet,Aqua
NM,MZY 421,,,Toyota,Silver
CA,ZLW 656,,,Chevrolet,Green
AL,30RE238,,Accord,Honda,Fuchsia
KS,574-QATO,2012,,Toyota,Navy
NY,664-ABO,2010,599,Ferrari,Fuchsia
CO,7VCI 64,2012,F-150,Ford,Black
OR,94-O057,2011,,Mercury,Blue
AR,AZS 673,,,Toyota,Olive
WI,MFZ 666,2010,Murano,Nissan,Gray
MD,OAC 149,,,Lincoln,Olive
AK,STD 3323,2007,tC,Scion,Navy
MA,ZO 03529,,Savana Cargo,GMC,Olive
CA,0IB 806,2012,Silverado 3500HD,Chevrolet,White
OR,185-LBOB,2009,DBS,Aston Martin,Black
SD,1UP4839,2010,Tundra,Toyota,Aqua
AR,28-8798P,2009,,Chevrolet,Aqua
WV,368 4XS,2008,,Toyota,Fuchsia
WI,419 OJ9,2012,,Porsche,Purple
MD,5QX M55,,Town and Country,Chrysler,Silver
AL,6CG 146,2006,,Toyota,Olive
IN,6LKH 84,2009,F-150,Ford,White
GA,6UR 229,,,Honda,White
FL,74N 293,2010,,Ford,Lime
VA,ALQ2839,,Ridgeline,Honda,Blue
HI,HMR4671,,,Chevrolet,Lime
HI,ZZS 012,,Accord,Honda,Maroon
PA,767 0MC,2012,M6,BMW,Aqua
AK,898-KYL,2006,,Chevrolet,Olive
OH,LMK 078,2007,Crown Victoria,Ford,Maroon
NH,RR6 2278,,Civic,Honda,Green
AL,04-P760,,,Dodge,Blue
AL,0BSC 43,2012,,BMW,White
AL,15-9741X,2000,,Ford,Silver
AL,160-FHO,2008,,Chevrolet,Teal
AL,2-P4294,2008,,Ford,Fuchsia
AL,201 XIR,,,MINI,Silver
AL,491 VKQ,,Tucson,Hyundai,Olive
AL,6ZS D50,,Insight,Honda,Olive
AL,727-CHZ,2012,Colorado,Chevrolet,Navy
AL,7C VA368,,,GMC,Black
AL,803DL,2012,S4,Audi,Lime
AL,88-L741,,,Infiniti,Yellow
AL,935-ROZ,2012,,Nissan,Fuchsia
AL,9CO 562,2010,,Kia,Teal
AL,W04-GUX,2012,,BMW,Green
KS,0-A8139,,,Suzuki,Lime
OR,016 DBU,,,Ford,Navy
VA,038 PTR,,F-350 Super Duty,Ford,Purple
NJ,153Z,,,Chevrolet,Purple
SD,39HB8,,,GMC,Silver
TN,467 DOY,2008,,Ford,Navy
OH,685 GW7,2012,,Ram,Purple
VA,7671 HB,2007,,Ford,Gray
ND,922 6991,2010,Yaris,Toyota,Black
MO,LF 0687,2011,,Toyota,Maroon
AZ,SH-9552,2010,Accord,Honda,Lime
IA,114 YNX,,,GMC,Fuchsia
NY,2Y 62273,2009,,Honda,Black
NE,407FCZ,,,GMC,White
NV,4A 98967,,,Kia,Blue
SC,5T 18061,2007,Silverado 3500 Classic,Chevrolet,Black
MD,6-T8917,2008,S4,Audi,Purple
UT,8L 0814H,2009,DTS,Cadillac,Aqua
NY,902-HYP,,,Nissan,Fuchsia
ND,FMN-1318,,,Toyota,Yellow
AK,KK-1797,2012,Escalade,Cadillac,Purple
CO,QVO 860,2011,,Hyundai,Green
AR,180-WHI,1998,,Dodge,Blue
AR,2013 JZ,2012,,Nissan,Olive
AR,321-NWX,,Yukon,GMC,White
AR,398-MLS,,,Ford,Purple
AR,423 NNM,2007,,Volkswagen,Silver
AR,429-LVS,2007,,Lexus,Silver
AR,634 EER,,3 Series,BMW,Black
AR,952-GLK,2005,,Kia,Black
AR,9NHP711,2004,,Lincoln,Aqua
AR,ARD 965,2007,,Ford,Yellow
AR,DIK-970,,,Chevrolet,Blue
AR,ERS-434,2007,,Nissan,Aqua
AR,I 979449,2006,Range Rover Sport,Land Rover,Olive
AR,IUJ6417,2011,,Acura,Teal
AR,KLU9715,,Relay,Saturn,Silver
AR,LCR 665,,,Chevrolet,Fuchsia
AR,QNR-108,,Camry,Toyota,Lime
UT,106 XBA,,RAV4,Toyota,Navy
MS,146-CQK,,,Chevrolet,Yellow
AK,21K CJ5,2012,,GMC,Maroon
AZ,36MM9,2006,Relay,Saturn,Navy
AK,696 MPT,2006,Corolla,Toyota,Fuchsia
MO,6JN 670,,4Runner,Toyota,Olive
NC,FEC 751,2011,Dakota,Ram,Maroon
AL,HD 6889,2008,Tahoe,Chevrolet,Yellow
NJ,KD 68015,,Tacoma,Toyota,Maroon
KY,KER0130,,Titan,Nissan,Aqua
VA,LEP 768,,RAM 150,Dodge,Maroon
